Column Headdings:
hap_scaff = Name of haplotype scaffold.
hs_start & hs_end  = Region of haplotype scaffold that was aligned (in most cases, this is the entire scaffold).
hr_scaff = Name of chromosomal scaffold to which the haplotype scaffold aligns.
cs_start & cs_end =  Region of chromosomal scaffold to which the haplotype scaffold aligns.
ori_on_cs = Orientation of haplotype scaffold relative to chromosomal scaffold.
chr  =  Name of chromosome to which the haplotype scaffold aligns.
chr_start & chr_end = Region of chromosome to which the haplotype scaffold aligns.
ori_on_chr = Orientation of haplotype scaffold relative to chromosome.

#hap_scaff	hs_start	hs_end	chr_scaff	cs_start	cs_end	ori_on_cs	chr	chr_start	chr_end	ori_on_chr
AAAB01006400	1	34757	AAAB01008879	2144132	2185241	1	2R	33687721	33728830	1
AAAB01006401	1	23077	AAAB01008834	2425125	2448376	-1	3L	26806813	26830064	1
AAAB01006483	1	51819	AAAB01008880	1008244	1062210	-1	2R	50601300	50655266	-1
AAAB01006502	1	20493	AAAB01008952	893957	909949	-1	2R	58175768	58191760	1
AAAB01006515	1	75548	AAAB01008980	12153894	12227666	1	3R	48299013	48372785	1
AAAB01006539	1	46071	AAAB01008986	2780186	2826750	1	3L	39136686	39183250	-1
AAAB01007479	1	24942	AAAB01008844	2279115	2305665	-1	2R	44664155	44690705	-1
AAAB01007519	1	71277	AAAB01008964	1692023	1758702	1	3R	10641286	10707965	-1
AAAB01007521	1	42569	AAAB01008966	1414812	1458122	-1	3L	24277186	24320496	1
AAAB01007528	1	24697	AAAB01008968	333265	359672	-1	2L	3671403	3697810	1
AAAB01007540	1	26906	AAAB01008952	1062108	1086127	-1	2R	57999590	58023609	1
AAAB01007642	1	59499	AAAB01008986	4794025	4845721	1	3L	37117715	37169411	-1
AAAB01007663	1	53393	AAAB01008986	3376811	3431867	-1	3L	38531569	38586625	1
AAAB01007666	1	21694	AAAB01008964	5236102	5252019	1	3R	7147969	7163886	-1
AAAB01007668	1	23013	AAAB01008888	2430078	2452530	1	2R	41408644	41431096	1
AAAB01007669	1	86350	AAAB01008966	2697605	2782686	-1	3L	22952622	23037703	1
AAAB01007770	1	15261	AAAB01008980	15462844	15480312	1	3R	51607963	51625431	1
AAAB01007773	1	36094	AAAB01008851	1644527	1679324	1	2R	38145771	38180568	1
AAAB01007779	1	98603	AAAB01008987	9757670	9854481	-1	2R	6368117	6464928	1
AAAB01007780	1	23948	AAAB01008844	1128087	1157184	-1	2R	43513127	43542224	-1
AAAB01007781	1	30689	AAAB01008835	458026	487835	1	3R	31623874	31653683	1
AAAB01007801	1	140901	AAAB01008797	155789	292526	1	3R	32995109	33131846	1
AAAB01007859	1	143482	AAAB01008987	9384876	9530528	1	2R	6692070	6837722	-1
AAAB01007891	1	25627	AAAB01008880	544326	573578	-1	2R	50137382	50166634	-1
AAAB01007893	1	55453	AAAB01008879	1891311	1946601	-1	2R	33434900	33490190	-1
AAAB01007904	1	30768	AAAB01008804	390062	420248	1	3L	15453482	15483668	-1
AAAB01007920	1	21136	AAAB01008898	3595249	3608782	-1	2R	57431946	57445479	-1
AAAB01007923	1	68805	AAAB01008888	156139	229869	-1	2R	39134705	39208435	-1
AAAB01007991	1	18406	AAAB01008968	426099	441996	1	2L	3589079	3604976	-1
AAAB01007992	1	36642	AAAB01008964	4780663	4817883	-1	3R	7582105	7619325	1
AAAB01007994	1	85560	AAAB01008879	1423569	1512416	1	2R	32967158	33056005	1
AAAB01007996	551	30657	AAAB01008966	1493344	1525496	-1	3L	24209812	24241964	1
AAAB01008030	1	31306	AAAB01008880	170370	201857	1	2R	49763426	49794913	1
AAAB01008082	1	20693	AAAB01008844	2445275	2460115	-1	2R	44830315	44845155	-1
AAAB01008085	2	24870	AAAB01008880	112876	134430	-1	2R	49705932	49727486	-1
AAAB01008089	1	41581	AAAB01008820	221307	261817	1	2R	38813189	38853699	-1
AAAB01008095	1	35900	AAAB01008986	2112475	2145399	-1	3L	39818037	39850961	1
AAAB01008098	181	17102	AAAB01008980	8610748	8629954	1	3R	44755867	44775073	1
AAAB01008115	1	35279	AAAB01008834	2268229	2299497	1	3L	26955692	26986960	-1
AAAB01008118	1	21535	AAAB01008879	1222080	1245110	1	2R	32765669	32788699	1
AAAB01008119	1	93601	AAAB01008964	5408154	5507216	-1	3R	6892772	6991834	1
AAAB01008137	1	17716	AAAB01008898	3715438	3731483	-1	2R	57552135	57568180	-1
AAAB01008146	1	59485	AAAB01008851	827936	893337	1	2R	37329180	37394581	1
AAAB01008166	1	31052	AAAB01008980	332330	362208	-1	3R	36477449	36507327	-1
AAAB01008180	1	86988	AAAB01008835	237232	325399	1	3R	31403080	31491247	1
AAAB01008183	1	28896	AAAB01008948	3155419	3183252	1	2L	8234380	8262213	1
AAAB01008192	1	71035	AAAB01008964	1210638	1279847	1	3R	11120141	11189350	-1
AAAB01008194	1	81565	AAAB01008986	1782000	1865001	-1	3L	40098435	40181436	1
AAAB01008208	1	20213	AAAB01008987	2361851	2384184	1	2R	13838414	13860747	-1
AAAB01008214	36	37062	AAAB01008898	116842	147108	1	2R	53953539	53983805	1
AAAB01008240	1	19655	AAAB01008979	1104276	1124833	-1	3L	10081357	10101914	1
AAAB01008245	1	28128	AAAB01008986	1446641	1475714	1	3L	40487722	40516795	-1
AAAB01008246	1	168271	AAAB01008986	3988469	4161331	-1	3L	37802105	37974967	1
AAAB01008247	1	30670	AAAB01008807	4263543	4292905	1	2L	45071421	45100783	-1
AAAB01008266	1	83998	AAAB01008090	89054	167577	1	3L	26627986	26706509	-1
AAAB01008268	1	30929	AAAB01008964	4853226	4884322	-1	3R	7515666	7546762	1
AAAB01008287	446	27984	AAAB01008879	1591524	1617056	-1	2R	33135113	33160645	-1
AAAB01008316	1	34372	AAAB01008880	397249	433102	-1	2R	49990305	50026158	-1
AAAB01008407	1	19632	AAAB01008900	269437	288430	1	2L	8793375	8812368	1
AAAB01008408	1	28801	AAAB01008835	895689	923712	1	3R	32061537	32089560	1
AAAB01008449	1	28547	AAAB01008964	1521809	1552073	1	3R	10847915	10878179	-1
AAAB01008470	1	17839	AAAB01008848	744050	761572	1	3L	8482236	8499758	1
AAAB01008494	1	28266	AAAB01008966	1636764	1666525	1	3L	24068783	24098544	-1
AAAB01008527	1	32117	AAAB01008980	9715280	9745885	-1	3R	45860399	45891004	-1
AAAB01008530	1	255544	AAAB01008944	415319	670952	1	3R	12485051	12740684	1
AAAB01008546	89	41485	AAAB01008823	68997	109679	1	3L	14553082	14593764	-1
AAAB01008559	1	39604	AAAB01008844	224541	264778	1	2R	42609581	42649818	1
AAAB01008696	1	27198	AAAB01008986	3075012	3101867	-1	3L	38861569	38888424	1
AAAB01008704	1	34479	AAAB01008986	4308291	4341964	-1	3L	37621472	37655145	1
AAAB01008724	1	64751	AAAB01008804	86773	146395	-1	3L	15727335	15786957	1
AAAB01008757	1	25227	AAAB01008879	1169349	1201500	1	2R	32712938	32745089	1
AAAB01008782	1	21466	AAAB01008986	4743333	4764585	-1	3L	37198851	37220103	1
AAAB01008806	15	78009	AAAB01008805	130608	205175	-1	2R	45299542	45374109	-1
AAAB01008813	1	149217	AAAB01008987	1655806	1806291	1	2R	14416307	14566792	-1
AAAB01008824	1	27573	AAAB01008851	1958565	1978442	1	2R	38459809	38479686	1
AAAB01008837	1	102186	AAAB01008839	250843	367413	1	3R	35892410	36008980	-1
AAAB01008845	1	53693	AAAB01008880	3826935	3873812	-1	2R	53419991	53466868	-1
AAAB01008853	5	120007	AAAB01008979	406180	525227	-1	3L	10680963	10800010	1
AAAB01008858	1	200955	AAAB01008964	377641	574423	-1	3R	11825565	12022347	1
AAAB01008866	496	40059	AAAB01008848	662023	703206	-1	3L	8400209	8441392	-1
AAAB01008870	919	364506	AAAB01008879	2352005	2706679	-1	2R	33895594	34250268	-1
AAAB01008872	1	16150	AAAB01008850	379394	400037	-1	2R	60001486	60022129	-1
AAAB01008875	1	57611	AAAB01008987	9635601	9686866	-1	2R	6535732	6586997	1
AAAB01008884	1	39292	AAAB01008986	2305538	2344345	1	3L	39619091	39657898	-1
AAAB01008886	1	28599	AAAB01008859	564946	597693	1	2R	30935897	30968644	-1
AAAB01008891	2	50950	AAAB01008848	1416608	1492172	1	3L	9154794	9230358	1
AAAB01008895	1	55604	AAAB01008888	2036134	2089437	-1	2R	41014700	41068003	-1
AAAB01008896	1	177647	AAAB01008956	660023	851363	-1	3L	25750803	25942143	1
AAAB01008908	1	253086	AAAB01008987	1841472	2099803	-1	2R	14122795	14381126	1
AAAB01008915	1	134500	AAAB01008986	3777048	3908972	-1	3L	38054464	38186388	1
AAAB01008916	1477	415479	AAAB01008956	213808	619102	1	3L	25983064	26388358	-1
AAAB01008917	1	20826	AAAB01008966	1144395	1157792	1	3L	24577516	24590913	-1
AAAB01008918	1	28814	AAAB01008979	1488414	1521341	-1	3L	9684849	9717776	1
AAAB01008923	1	98754	AAAB01008966	1891774	2001696	-1	3L	23733612	23843534	1
AAAB01008929	2	39569	AAAB01008986	3282776	3342312	-1	3L	38621124	38680660	1
AAAB01008945	1	84493	AAAB01008979	639748	719348	1	3L	10486842	10566442	-1
AAAB01008946	1	76177	AAAB01008879	1658902	1750230	1	2R	33202491	33293819	1
AAAB01008950	1	66836	AAAB01008948	325717	400106	-1	2L	5404678	5479067	-1
AAAB01008954	1	174991	AAAB01008797	300060	479976	-1	3R	33139380	33319296	-1
AAAB01008965	1	104562	AAAB01008904	701834	813228	-1	2R	36079186	36190580	-1
AAAB01008974	1	64810	AAAB01008844	1030500	1092816	-1	2R	43415540	43477856	-1
AAAB01008983	514	28276	AAAB01008980	16290600	16314595	-1	3R	52435719	52459714	-1
