Old_stable_id New_stable_id Change
AGAP000372 AGAP000372 changed
AGAP000373 NULL deleted
AGAP000374 AGAP000374 changed
AGAP000375 AGAP000375 changed
AGAP000376 AGAP000376 changed
AGAP000377 AGAP000377 changed
AGAP000378 AGAP000378 changed
AGAP000379 AGAP000379 unchanged
AGAP000380 AGAP000380 changed
AGAP000381 NULL deleted
AGAP000382 AGAP000382 unchanged
AGAP000383 AGAP000383 changed
AGAP000384 AGAP000384 changed
AGAP000385 AGAP000385 changed
AGAP000386 AGAP000386 changed
AGAP000387 AGAP000387 changed
AGAP000388 AGAP000388 changed
AGAP000389 AGAP000389 changed
AGAP000390 AGAP000390 changed
AGAP000391 AGAP000391 changed
AGAP000392 AGAP000392 changed
AGAP000393 AGAP000393 changed
AGAP000394 AGAP000394 changed
AGAP000395 AGAP000395 changed
AGAP000396 AGAP000396 changed
AGAP000397 AGAP000397 unchanged
AGAP000398 AGAP000398 changed
AGAP000399 AGAP000399 changed
AGAP000400 AGAP000400 changed
AGAP000401 AGAP000401 unchanged
AGAP000402 AGAP000402 changed
AGAP000403 AGAP000403 changed
AGAP000404 NULL deleted
AGAP000405 AGAP000405 changed
AGAP000406 AGAP000406 changed
AGAP000407 AGAP000407 changed
AGAP000408 AGAP000408 changed
AGAP000409 NULL deleted
AGAP000410 AGAP000410 changed
AGAP000411 AGAP000411 changed
AGAP000412 AGAP000412 changed
AGAP000413 AGAP000413 changed
AGAP000414 AGAP000414 changed
AGAP000415 AGAP000415 unchanged
AGAP000416 AGAP000416 changed
AGAP000417 AGAP000417 changed
AGAP000417 AGAP000418 changed
AGAP000418 AGAP000418 changed
AGAP000419 AGAP000419 changed
AGAP000420 AGAP000420 changed
AGAP000421 AGAP000421 changed
AGAP000422 AGAP000422 changed
AGAP000423 AGAP000423 changed
AGAP000424 AGAP000424 changed
AGAP000425 AGAP000425 changed
AGAP000426 AGAP000426 changed
AGAP000427 AGAP000427 changed
AGAP000428 AGAP000428 changed
AGAP000429 AGAP000429 changed
AGAP000430 AGAP000430 changed
AGAP000431 AGAP000431 changed
AGAP000432 AGAP000432 unchanged
AGAP000433 AGAP000433 changed
AGAP000434 AGAP000434 changed
AGAP000435 NULL deleted
AGAP000436 AGAP000436 changed
AGAP000437 AGAP000437 changed
AGAP000438 AGAP000438 changed
AGAP000439 AGAP000439 unchanged
AGAP000440 AGAP000440 changed
AGAP000441 AGAP000441 changed
AGAP000442 AGAP000442 changed
AGAP000443 AGAP000443 changed
AGAP000444 AGAP000444 changed
AGAP000445 AGAP000445 changed
AGAP000446 AGAP000446 changed
AGAP000447 AGAP000447 unchanged
AGAP000448 AGAP000448 changed
AGAP000449 AGAP000449 changed
AGAP000450 NULL deleted
AGAP000451 NULL deleted
AGAP000452 AGAP000452 changed
AGAP000453 AGAP000453 changed
AGAP000454 AGAP000454 changed
AGAP000455 NULL deleted
AGAP000456 AGAP000456 changed
AGAP000457 AGAP000457 changed
AGAP000458 AGAP000458 changed
AGAP000459 AGAP000459 unchanged
AGAP000460 AGAP000460 changed
AGAP000461 AGAP000461 changed
AGAP000462 AGAP000462 changed
AGAP000463 AGAP000463 changed
AGAP000464 NULL deleted
AGAP000465 NULL deleted
AGAP000466 AGAP000466 unchanged
AGAP000467 AGAP000467 changed
AGAP000468 AGAP000468 changed
AGAP000469 AGAP000469 changed
AGAP000470 AGAP000470 changed
AGAP000471 AGAP000471 changed
AGAP000472 AGAP000472 changed
AGAP000473 AGAP000473 changed
AGAP000474 AGAP000474 unchanged
AGAP000475 AGAP000475 changed
AGAP000476 AGAP000476 unchanged
AGAP000477 AGAP000477 changed
AGAP000478 AGAP000478 changed
AGAP000479 AGAP000479 changed
AGAP000480 AGAP000480 changed
AGAP000481 AGAP000481 changed
AGAP000482 AGAP000482 changed
AGAP000483 AGAP000483 changed
AGAP000484 AGAP000484 changed
AGAP000485 AGAP000485 changed
AGAP000486 NULL deleted
AGAP000487 NULL deleted
AGAP000488 AGAP000488 changed
AGAP000489 AGAP000489 changed
AGAP000490 NULL deleted
AGAP000491 AGAP000491 changed
AGAP000492 AGAP000492 changed
AGAP000493 AGAP000493 changed
AGAP000494 AGAP000494 unchanged
AGAP000495 AGAP000495 changed
AGAP000496 AGAP000496 unchanged
AGAP000497 AGAP000497 changed
AGAP000498 AGAP000498 changed
AGAP000499 AGAP000499 changed
AGAP000500 AGAP000500 changed
AGAP000501 AGAP000501 changed
AGAP000502 AGAP000502 changed
AGAP000503 NULL deleted
AGAP000504 AGAP000504 changed
AGAP000505 NULL deleted
AGAP000506 AGAP000506 unchanged
AGAP000507 AGAP000507 changed
AGAP000508 AGAP000508 changed
AGAP000509 AGAP000509 unchanged
AGAP000510 NULL deleted
AGAP000511 NULL deleted
AGAP000512 AGAP000512 changed
AGAP000513 AGAP000513 changed
AGAP000514 AGAP000514 changed
AGAP000515 AGAP000515 unchanged
AGAP000516 AGAP000516 unchanged
AGAP000517 NULL deleted
AGAP000518 NULL deleted
AGAP000519 AGAP000519 changed
AGAP000520 AGAP000520 changed
AGAP000521 AGAP000521 changed
AGAP000522 AGAP000522 changed
AGAP000523 AGAP000523 unchanged
AGAP000524 NULL deleted
AGAP000525 NULL deleted
AGAP000526 AGAP000526 changed
AGAP000527 NULL deleted
AGAP000528 AGAP000528 changed
AGAP000529 AGAP000529 changed
AGAP000530 AGAP000530 changed
AGAP000531 AGAP000531 unchanged
AGAP000532 AGAP000532 changed
AGAP000533 AGAP000533 changed
AGAP000534 AGAP000534 changed
AGAP000535 AGAP000535 changed
AGAP000536 AGAP000536 changed
AGAP000537 AGAP000537 changed
AGAP000538 AGAP000538 unchanged
AGAP000539 AGAP000539 changed
AGAP000540 AGAP000540 changed
AGAP000541 AGAP000541 changed
AGAP000542 AGAP000542 unchanged
AGAP000543 AGAP000543 changed
AGAP000544 AGAP000544 changed
AGAP000545 AGAP000545 changed
AGAP000546 AGAP000546 changed
AGAP000547 AGAP000547 changed
AGAP000548 AGAP000548 unchanged
AGAP000549 AGAP000549 changed
AGAP000550 AGAP000550 changed
AGAP000551 AGAP000551 changed
AGAP000552 AGAP000552 changed
AGAP000553 AGAP000553 unchanged
AGAP000554 AGAP000554 changed
AGAP000555 AGAP000555 unchanged
AGAP000556 AGAP000556 unchanged
AGAP000557 NULL deleted
AGAP000558 AGAP000558 changed
AGAP000559 AGAP000559 changed
AGAP000560 AGAP000560 changed
AGAP000561 AGAP000561 unchanged
AGAP000562 AGAP000562 changed
AGAP000563 AGAP000563 changed
AGAP000564 AGAP000564 changed
AGAP000565 AGAP000565 changed
AGAP000566 AGAP000566 changed
AGAP000567 AGAP000567 changed
AGAP000568 NULL deleted
AGAP000569 AGAP000569 changed
AGAP000570 AGAP000570 unchanged
AGAP000571 AGAP000315 changed
AGAP000571 AGAP000571 changed
AGAP000572 AGAP000572 changed
AGAP000573 AGAP000573 changed
AGAP000574 AGAP000574 changed
AGAP000575 AGAP000575 changed
AGAP000576 AGAP000576 changed
AGAP000577 AGAP000577 changed
AGAP000578 AGAP000578 changed
AGAP000579 AGAP000579 changed
AGAP000580 AGAP000580 unchanged
AGAP000581 AGAP000581 changed
AGAP000582 NULL deleted
AGAP000583 NULL deleted
AGAP000584 NULL deleted
AGAP000585 AGAP000585 changed
AGAP000586 AGAP000470 changed
AGAP000586 AGAP000586 changed
AGAP000586 AGAP000967 changed
AGAP000586 AGAP003603 changed
AGAP000586 AGAP007278 changed
AGAP000587 AGAP000587 changed
AGAP000588 AGAP000588 changed
AGAP000589 AGAP000589 changed
AGAP000590 NULL deleted
AGAP000591 AGAP000591 changed
AGAP000592 AGAP000592 changed
AGAP000593 NULL deleted
AGAP000594 AGAP000594 changed
AGAP000595 AGAP000595 changed
AGAP000596 AGAP000596 changed
AGAP000597 AGAP000597 changed
AGAP000598 AGAP000598 changed
AGAP000599 AGAP000599 unchanged
AGAP000600 NULL deleted
AGAP000601 AGAP000601 changed
AGAP000602 AGAP000602 changed
AGAP000603 AGAP000603 unchanged
AGAP000604 AGAP000604 unchanged
AGAP000605 AGAP000605 changed
AGAP000606 AGAP000606 changed
AGAP000607 AGAP000607 changed
AGAP000608 NULL deleted
AGAP000609 AGAP000609 changed
AGAP000610 AGAP000610 changed
AGAP000611 AGAP000611 changed
AGAP000612 AGAP000612 changed
AGAP000613 NULL deleted
AGAP000614 AGAP000614 changed
AGAP000615 AGAP000615 changed
AGAP000616 AGAP000616 changed
AGAP000617 AGAP000617 changed
AGAP000618 AGAP000618 changed
AGAP000619 AGAP000619 changed
AGAP000620 AGAP000620 changed
AGAP000621 AGAP000621 changed
AGAP000622 AGAP000622 changed
AGAP000623 AGAP000623 changed
AGAP000624 AGAP000624 unchanged
AGAP000625 AGAP000625 changed
AGAP000626 AGAP000626 changed
AGAP000627 AGAP000627 changed
AGAP000628 AGAP000628 unchanged
AGAP000629 AGAP000629 changed
AGAP000630 AGAP000630 changed
AGAP000631 AGAP000631 changed
AGAP000632 NULL deleted
AGAP000633 AGAP000633 unchanged
AGAP000634 AGAP000634 changed
AGAP000635 AGAP000635 changed
AGAP000636 AGAP000636 changed
AGAP000637 AGAP000637 changed
AGAP000638 AGAP000638 unchanged
AGAP000639 AGAP000639 changed
AGAP000640 AGAP000640 unchanged
AGAP000641 AGAP000641 unchanged
AGAP000642 AGAP000642 changed
AGAP000643 AGAP000643 changed
AGAP000644 AGAP000644 unchanged
AGAP000645 NULL deleted
AGAP000646 AGAP000646 changed
AGAP000647 AGAP000647 unchanged
AGAP000648 AGAP000648 changed
AGAP000649 AGAP000649 changed
AGAP000650 AGAP000650 changed
AGAP000651 AGAP000651 changed
AGAP000652 AGAP000652 changed
AGAP000653 AGAP000653 changed
AGAP000654 AGAP000654 changed
AGAP000655 AGAP000655 changed
AGAP000656 AGAP000656 changed
AGAP000657 AGAP000657 changed
AGAP000658 AGAP000658 unchanged
AGAP000659 AGAP000659 changed
AGAP000660 AGAP000660 changed
AGAP000661 NULL deleted
AGAP000662 AGAP000662 changed
AGAP000663 AGAP000663 changed
AGAP000664 NULL deleted
AGAP000665 NULL deleted
AGAP000666 AGAP000666 changed
AGAP000667 AGAP000667 changed
AGAP000668 AGAP000668 changed
AGAP000669 AGAP000669 changed
AGAP000670 AGAP000670 unchanged
AGAP000671 AGAP000671 changed
AGAP000672 AGAP000672 changed
AGAP000673 AGAP000673 changed
AGAP000674 AGAP000674 changed
AGAP000675 AGAP000675 changed
AGAP000676 AGAP000676 changed
AGAP000677 NULL deleted
AGAP000678 AGAP000678 changed
AGAP000679 AGAP000679 changed
AGAP000680 AGAP000680 unchanged
AGAP000681 AGAP000681 changed
AGAP000682 AGAP000682 changed
AGAP000683 NULL deleted
AGAP000684 AGAP000684 changed
AGAP000685 AGAP000685 changed
AGAP000686 AGAP000686 changed
AGAP000687 AGAP000687 changed
AGAP000688 AGAP000688 unchanged
AGAP000689 AGAP000689 unchanged
AGAP000690 AGAP000690 changed
AGAP000691 AGAP000691 changed
AGAP000692 AGAP000692 changed
AGAP000693 AGAP000693 unchanged
AGAP000694 AGAP000694 changed
AGAP000695 AGAP000695 changed
AGAP000696 AGAP000696 changed
AGAP000697 AGAP000697 changed
AGAP000698 AGAP000698 changed
AGAP000699 AGAP000699 changed
AGAP000700 AGAP000700 changed
AGAP000701 NULL deleted
AGAP000702 AGAP000702 changed
AGAP000703 AGAP000703 changed
AGAP000704 AGAP000704 changed
AGAP000705 AGAP000705 changed
AGAP000706 AGAP000706 changed
AGAP000707 AGAP000707 changed
AGAP000708 AGAP000708 changed
AGAP000709 NULL deleted
AGAP000710 NULL deleted
AGAP000711 AGAP000711 changed
AGAP000712 NULL deleted
AGAP000713 AGAP000713 changed
AGAP000714 AGAP000714 changed
AGAP000714 AGAP013409 unchanged
AGAP000715 AGAP000715 changed
AGAP000716 NULL deleted
AGAP000717 AGAP000717 changed
AGAP000718 AGAP000718 changed
AGAP000719 AGAP000719 changed
AGAP000720 AGAP000720 changed
AGAP000721 AGAP000721 changed
AGAP000722 NULL deleted
AGAP000723 AGAP000723 changed
AGAP000724 AGAP000724 changed
AGAP000725 AGAP000725 changed
AGAP000726 AGAP000726 changed
AGAP000727 AGAP000727 changed
AGAP000728 AGAP000728 changed
AGAP000729 AGAP000729 unchanged
AGAP000730 AGAP000730 unchanged
AGAP000731 AGAP000731 changed
AGAP000732 AGAP000732 changed
AGAP000733 AGAP000733 changed
AGAP000734 AGAP000734 changed
AGAP000735 AGAP000735 changed
AGAP000736 AGAP000736 changed
AGAP000737 AGAP000737 changed
AGAP000738 AGAP000738 changed
AGAP000739 AGAP000739 changed
AGAP000740 AGAP000740 changed
AGAP000741 AGAP000741 changed
AGAP000742 AGAP000742 unchanged
AGAP000743 AGAP000743 changed
AGAP000744 AGAP000744 unchanged
AGAP000745 AGAP000745 changed
AGAP000746 NULL deleted
AGAP000747 AGAP000747 changed
AGAP000748 AGAP000748 changed
AGAP000749 AGAP000749 changed
AGAP000750 AGAP000750 changed
AGAP000751 AGAP000751 unchanged
AGAP000752 AGAP000752 changed
AGAP000752 AGAP013440 unchanged
AGAP000753 NULL deleted
AGAP000754 AGAP000754 changed
AGAP000755 AGAP000755 changed
AGAP000756 AGAP000756 changed
AGAP000757 AGAP000757 changed
AGAP000758 AGAP000758 changed
AGAP000759 AGAP000759 changed
AGAP000760 AGAP000760 changed
AGAP000761 AGAP000761 changed
AGAP000762 AGAP000762 changed
AGAP000763 AGAP000763 unchanged
AGAP000764 NULL deleted
AGAP000765 AGAP000765 changed
AGAP000766 NULL deleted
AGAP000767 AGAP000767 unchanged
AGAP000768 AGAP000768 changed
AGAP000769 AGAP000769 changed
AGAP000770 AGAP000770 changed
AGAP000771 AGAP000771 unchanged
AGAP000772 AGAP000772 unchanged
AGAP000773 AGAP000773 changed
AGAP000774 AGAP000774 changed
AGAP000775 NULL deleted
AGAP000776 AGAP000776 changed
AGAP000777 AGAP000777 changed
AGAP000778 AGAP000778 changed
AGAP000779 AGAP000779 changed
AGAP000780 AGAP000780 unchanged
AGAP000781 AGAP000781 changed
AGAP000782 AGAP000782 unchanged
AGAP000783 AGAP000783 changed
AGAP000784 AGAP000784 changed
AGAP000785 AGAP000785 changed
AGAP000786 AGAP000786 changed
AGAP000787 AGAP000787 changed
AGAP000788 AGAP000788 changed
AGAP000789 AGAP000789 changed
AGAP000790 AGAP000790 changed
AGAP000791 AGAP000791 changed
AGAP000792 AGAP000792 changed
AGAP000793 AGAP000793 changed
AGAP000794 AGAP000794 changed
AGAP000795 AGAP000795 changed
AGAP000796 NULL deleted
AGAP000797 AGAP000797 changed
AGAP000798 AGAP000798 changed
AGAP000799 NULL deleted
AGAP000800 NULL deleted
AGAP000801 AGAP000801 changed
AGAP000802 NULL deleted
AGAP000803 AGAP000803 unchanged
AGAP000804 AGAP000804 changed
AGAP000805 AGAP000805 changed
AGAP000806 AGAP000806 changed
AGAP000807 AGAP000807 changed
AGAP000808 AGAP000808 changed
AGAP000809 AGAP000809 changed
AGAP000810 AGAP000810 changed
AGAP000811 NULL deleted
AGAP000812 AGAP000812 unchanged
