CPIJ801599	supercont3.1666:44514-46540 (+) 	CPIJ019404
CPIJ802516	supercont3.5:2249324-2250792 (-)	CPIJ000544  
CPIJ802513	supercont3.5:2251572-2252982 (+)	CPIJ000545  
CPIJ802487	supercont3.741:50302-51595 (-)  	CPIJ015874  
CPIJ802274	supercont3.741:188410-195332 (+)	CPIJ015879  
CPIJ802276	supercont3.741:195400-197160 (-)	CPIJ015880  
CPIJ802277	supercont3.741:198458-199432 (-)	CPIJ015881  
CPIJ802275	supercont3.741:211660-212906 (+)	CPIJ015882  
CPIJ802280	supercont3.741:212950-223169 (-)	CPIJ015883  
CPIJ802273	supercont3.741:230746-234169 (+)	CPIJ015884  
CPIJ800197	supercont3.35:837746-839434 (-) 	CPIJ002535  
CPIJ800198	supercont3.35:840078-841709 (+) 	CPIJ002536  
CPIJ800199	supercont3.35:860085-861701 (+) 	CPIJ002537  
CPIJ800200	supercont3.35:863806-865488 (+) 	CPIJ002538  
CPIJ802325	supercont3.78:953-1594 (-)      	CPIJ004834  
CPIJ802324	supercont3.78:6823-20870 (-)    	CPIJ004835  
CPIJ802318	supercont3.78:31051-31725 (+)   	CPIJ004836  
CPIJ802319	supercont3.78:42149-55835 (-)   	CPIJ004837  
CPIJ802320	supercont3.78:68134-69615 (-)   	CPIJ004838  
CPIJ802321	supercont3.78:112864-118590 (-) 	CPIJ004843  
CPIJ802329	supercont3.78:387098-388850 (+) 	CPIJ004859  
CPIJ802330	supercont3.78:389298-389721 (+) 	CPIJ004860  
CPIJ802335	supercont3.78:389823-390720 (-) 	CPIJ004861  
CPIJ802326	supercont3.78:411165-434463 (+) 	CPIJ004862  
CPIJ802334	supercont3.78:435327-435908 (-) 	CPIJ004863  
CPIJ802327	supercont3.78:439836-441455 (+) 	CPIJ004864  
CPIJ802333	supercont3.78:441112-442439 (-) 	CPIJ004865  
CPIJ802332	supercont3.78:448912-450279 (-) 	NEW  
CPIJ802331	supercont3.78:458205-464271 (-) 	CPIJ004866  
CPIJ802328	supercont3.78:477668-480195 (+) 	CPIJ004867  
CPIJ802338	supercont3.78:745905-748916 (-) 	CPIJ004877  
CPIJ802337	supercont3.78:749369-754883 (-) 	CPIJ004878  
CPIJ802336	supercont3.78:755420-756932 (-) 	CPIJ004879  
CPIJ802343	supercont3.78:812425-818937 (-) 	CPIJ004883  
CPIJ800237	supercont3.264:375027-376631 (-)	CPIJ010175  
CPIJ800100	supercont3.618:172769-173290 (+)	CPIJ014548  
CPIJ800101	supercont3.618:178542-179708 (+)	CPIJ014549  
CPIJ800103	supercont3.618:208080-210396 (-)	CPIJ014552  
CPIJ801455	supercont3.1208:9826-10113 (-)  	CPIJ018530  
CPIJ801456	supercont3.1208:39665-44326 (-) 	CPIJ018532  
CPIJ800051	supercont3.511:113993-118126 (+)	NEW  
CPIJ800003	supercont3.147:490687-492097 (-)	CPIJ007380  
CPIJ801801	supercont3.319:10314-43041 (+)  	CPIJ011434  
CPIJ801807	supercont3.319:24331-25218 (-)  	CPIJ011433  
CPIJ801806	supercont3.319:50117-53554 (-)  	CPIJ011435  
CPIJ801803	supercont3.319:54774-55629 (+)  	CPIJ011436  
CPIJ801804	supercont3.319:72709-73733 (+)  	CPIJ011437  
CPIJ801805	supercont3.319:80571-88452 (-)  	CPIJ011438  
CPIJ801802	supercont3.319:132812-164017 (+)	CPIJ011439  
CPIJ801809	supercont3.319:419550-427430 (+)	CPIJ011443
CPIJ801815	supercont3.319:428501-431381 (-)	CPIJ011444  
CPIJ801810	supercont3.319:431682-438453 (+)	CPIJ011445  
CPIJ801816	supercont3.319:438845-440667 (-)	CPIJ011446  
CPIJ801811	supercont3.319:440949-441508 (+)	CPIJ011447  
CPIJ801812	supercont3.319:441986-448081 (+)	NEW  
CPIJ801817	supercont3.319:447954-450250 (-)	CPIJ011448  
CPIJ801813	supercont3.319:453368-454094 (+)	CPIJ011449  
CPIJ801818	supercont3.319:454359-454835 (-)	CPIJ011450  
CPIJ801819	supercont3.319:456730-457834 (-)	CPIJ011451  
CPIJ801820	supercont3.319:459068-461879 (-)	CPIJ011452  
CPIJ801814	supercont3.319:462180-464177 (+)	CPIJ011453  
CPIJ800253	supercont3.234:300908-311533 (+)	CPIJ009415  
CPIJ800218	supercont3.1363:32367-36256 (-)  	CPIJ018494  
CPIJ800266	supercont3.277:494713-496416 (+)	CPIJ010480  
CPIJ802497	supercont3.970:86277-87521 (-)  	CPIJ017195  
CPIJ802491	supercont3.970:87659-88699 (-)  	CPIJ017196  
CPIJ802473	supercont3.970:92051-93396 (-)  	CPIJ017197  
CPIJ800296	supercont3.970:146039-148961 (-)	CPIJ017199  
CPIJ801432	supercont3.115:283859-285847 (-)	CPIJ005814  
CPIJ801420	supercont3.115:288819-290436 (+)	CPIJ005815  
CPIJ801421	supercont3.115:317265-323219 (+)	CPIJ005816  
CPIJ801431	supercont3.115:332555-333253 (-)	CPIJ005818  
CPIJ801422	supercont3.115:333606-334856 (+)	CPIJ005819  
CPIJ801430	supercont3.115:340391-342238 (-)	CPIJ005820  
CPIJ801423	supercont3.115:342649-344339 (+)	CPIJ005821  
CPIJ801429	supercont3.115:344431-345793 (-)	CPIJ005822  
CPIJ801424	supercont3.115:349581-383719 (+)	CPIJ005823  
CPIJ801428	supercont3.115:387554-393276 (-)	CPIJ005824  
CPIJ801434	supercont3.115:441068-443902 (-)	CPIJ005829  
CPIJ801427	supercont3.115:458776-470942 (-)	CPIJ005831  
CPIJ801425	supercont3.115:468158-479132 (+)	CPIJ005830  
CPIJ801433	supercont3.115:479181-481269 (-)	CPIJ005833  
CPIJ801426	supercont3.115:485604-487920 (+)	CPIJ005834  
CPIJ801435	supercont3.115:489026-532806 (-)	CPIJ005835  
CPIJ800085	supercont3.43:543043-544454 (-) 	CPIJ003167  
CPIJ802636	supercont3.696:114993-116311 (-)	CPIJ015749  
CPIJ800043	supercont3.219:172858-186438 (+)	CPIJ008844  
CPIJ800044	supercont3.219:186759-201411 (+)	CPIJ008845  
CPIJ800045	supercont3.219:208634-225772 (+)	CPIJ008847  
CPIJ800022	supercont3.214:321839-336205 (+)	CPIJ008940  
CPIJ800105	supercont3.721:37420-38088 (-)  	CPIJ015714  
CPIJ800009	supercont3.721:224774-233105 (+)	CPIJ015721  
CPIJ802361	supercont3.83:17212-18265 (-)   	CPIJ005286  
CPIJ802360	supercont3.83:20323-20772 (-)   	CPIJ005288  
CPIJ802359	supercont3.83:25538-25945 (-)   	CPIJ005289  
CPIJ802358	supercont3.83:86122-98999 (-)   	CPIJ005291  
CPIJ802354	supercont3.83:125984-131430 (+) 	CPIJ005292  
CPIJ802362	supercont3.83:137050-137910 (-) 	CPIJ005293  
CPIJ802363	supercont3.83:142792-148400 (-) 	CPIJ005294  
CPIJ802355	supercont3.83:216742-222651 (+) 	CPIJ005295  
CPIJ802356	supercont3.83:228803-229574 (+) 	CPIJ005296  
CPIJ802357	supercont3.83:233892-234191 (+) 	CPIJ005297  
CPIJ802366	supercont3.83:264378-267739 (-) 	CPIJ005299  
CPIJ802364	supercont3.83:265790-267163 (+) 	CPIJ005300  
CPIJ802367	supercont3.83:272744-274301 (-) 	CPIJ005301  
CPIJ802368	supercont3.83:274451-282944 (-) 	CPIJ005302  
CPIJ802365	supercont3.83:480619-481111 (+) 	CPIJ005304  
CPIJ802070	supercont3.596:60740-61467 (-)  	CPIJ014628  
CPIJ802066	supercont3.596:61516-61692 (+)  	CPIJ014629  
CPIJ802067	supercont3.596:61756-62262 (+)  	CPIJ014630  
CPIJ802068	supercont3.596:175481-177101 (-)	CPIJ014632  
CPIJ801532	supercont3.134:164967-183755 (+)	CPIJ007112  
CPIJ801534	supercont3.134:189532-210548 (-)	CPIJ007113  
CPIJ801535	supercont3.134:213915-217109 (-)	CPIJ007114  
CPIJ801536	supercont3.134:220775-223511 (-)	CPIJ007115  
CPIJ801531	supercont3.134:248237-297724 (-)	CPIJ007116  
CPIJ801538	supercont3.134:816988-818350 (+)	CPIJ007125  
CPIJ800151	supercont3.1:1280789-1293907 (+)	CPIJ000067  
CPIJ801475	supercont3.12:1089039-1090106 (-)	CPIJ001035  
CPIJ801474	supercont3.12:1092296-1093364 (-)	CPIJ001036  
CPIJ801468	supercont3.12:1093596-1104124 (+)	CPIJ001037  
CPIJ801469	supercont3.12:1152867-1158885 (+)	CPIJ001038  
CPIJ801472	supercont3.12:1214015-1216560 (-)	CPIJ001040  
CPIJ801471	supercont3.12:1217268-1219171 (-)	CPIJ001041  
CPIJ801470	supercont3.12:1219870-1227785 (-)	CPIJ001042  
CPIJ801476	supercont3.12:1249902-1251282 (+)	CPIJ001043  
CPIJ801501	supercont3.12:1258236-1261891 (-)	CPIJ001044  
CPIJ801490	supercont3.12:1311698-1317556 (+) 	CPIJ001045  
CPIJ801489	supercont3.12:1351115-1354526 (+)	CPIJ001046  
CPIJ801488	supercont3.12:1355404-1358461 (+)	CPIJ001047  
CPIJ801487	supercont3.12:1358732-1362097 (+)	CPIJ001048  
CPIJ801486	supercont3.12:1362272-1365251 (+)	NEW  
CPIJ801485	supercont3.12:1365639-1368690 (+)	CPIJ001049  
CPIJ801477	supercont3.12:1369017-1372054 (+) 	CPIJ001050  
CPIJ801478	supercont3.12:1372341-1375274 (+)	CPIJ001051  
CPIJ801500	supercont3.12:1375725-1378599 (-)	CPIJ001052  
CPIJ801479	supercont3.12:1379271-1380292 (+)	CPIJ001053  
CPIJ801499	supercont3.12:1382391-1383589 (-)	CPIJ001054  
CPIJ801498	supercont3.12:1389430-1390856 (-)	CPIJ001057  
CPIJ801481	supercont3.12:1392069-1392755 (+)	CPIJ001058  
CPIJ801497	supercont3.12:1392843-1399632 (-)	CPIJ001059  
CPIJ801496	supercont3.12:1407338-1412361 (-)	CPIJ001060  
CPIJ801495	supercont3.12:1412674-1418109 (-)	CPIJ001061  
CPIJ801482	supercont3.12:1421726-1423057 (+)	CPIJ001062  
CPIJ801494	supercont3.12:1423107-1423393 (-)	CPIJ001063  
CPIJ801493	supercont3.12:1424184-1434973 (-)	CPIJ001064  
CPIJ801492	supercont3.12:1435611-1438627 (-)	CPIJ001065  
CPIJ801491	supercont3.12:1438912-1441324 (-)	CPIJ001066  
CPIJ801483	supercont3.12:1441759-1443298 (+)	CPIJ001067  
CPIJ801484	supercont3.12:1445014-1446502 (+)	CPIJ001068  
CPIJ801502	supercont3.12:1472479-1491463 (+)	CPIJ001069  
CPIJ801504	supercont3.12:1491923-1493835 (-)	CPIJ001070  
CPIJ801503	supercont3.12:1502998-1520922 (+)	CPIJ001071  
CPIJ801526	supercont3.12:1539699-1545573 (-)	CPIJ001072  
CPIJ801524	supercont3.12:1627370-1627839 (-)	CPIJ001078  
CPIJ801510	supercont3.12:1638435-1641055 (+)	CPIJ001079  
CPIJ801523	supercont3.12:1641172-1645093 (-)	CPIJ001080  
CPIJ801511	supercont3.12:1650186-1653898 (+)	CPIJ001081  
CPIJ801512	supercont3.12:1654323-1656573 (+)	CPIJ001082  
CPIJ801522	supercont3.12:1656419-1657000 (-)	CPIJ001083  
CPIJ801521	supercont3.12:1659329-1659958 (-)	CPIJ001084  
CPIJ801520	supercont3.12:1660285-1660868 (-)	CPIJ001085  
CPIJ801513	supercont3.12:1684085-1696859 (+)	CPIJ001086  
CPIJ801514	supercont3.12:1700544-1700940 (+)	CPIJ001087  
CPIJ801519	supercont3.12:1701159-1703783 (-)	CPIJ001088  
CPIJ801518	supercont3.12:1710422-1711552 (-)	NEW
CPIJ801517	supercont3.12:1711861-1713036 (-)	CPIJ001089  
CPIJ801515	supercont3.12:1713823-1716025 (+)	CPIJ001090  
CPIJ801516	supercont3.12:1716467-1717659 (-)	CPIJ001091  
CPIJ802345	supercont3.829:114392-117238 (+)	CPIJ001092
CPIJ802350	supercont3.829:127271-128382 (-)	CPIJ016978  
CPIJ802349	supercont3.829:130926-139011 (-)	CPIJ016979  
CPIJ802348	supercont3.829:147603-149906 (-)	CPIJ016980  
CPIJ802346	supercont3.829:160268-161602 (+)	CPIJ016981 
CPIJ802347	supercont3.829:180641 -183039 (-)	CPIJ016983 
CPIJ801607	supercont3.17:2924-10984 (+)    	CPIJ001538 
CPIJ801609	supercont3.17:70480-72210 (+)   	CPIJ001539 
CPIJ801608	supercont3.17:84583-103749 (+)  	CPIJ001540 
CPIJ801620	supercont3.17:366876-386021 (-) 	CPIJ001546
CPIJ801619	supercont3.17:397344-409025 (-) 	CPIJ001547 
CPIJ801618	supercont3.17:417739-441610 (-) 	CPIJ001548 
CPIJ801617	supercont3.17:447139-454009 (-) 	CPIJ001549 
CPIJ801611	supercont3.17:454417-456694 (+) 	CPIJ001550 
CPIJ801616	supercont3.17:457170-459813 (-) 	CPIJ001551 
CPIJ801612	supercont3.17:459876-465470 (+) 	CPIJ001552 
CPIJ801615	supercont3.17:465816-466926 (-) 	CPIJ001553 
CPIJ801613	supercont3.17:469612-471630 (+) 	CPIJ001554 
CPIJ801614	supercont3.17:487521-492785 (+) 	CPIJ001555 
CPIJ801622	supercont3.1872:15349-23501 (-) 	CPIJ019745
CPIJ801621	supercont3.1872:34530-34991 (-) 	CPIJ019746
CPIJ800118	supercont3.1074:44329-45267 (+) 	CPIJ017873
CPIJ800202	supercont3.1029:168249-169877 (-)	CPIJ017014
CPIJ802609	supercont3.384:302033-303385 (-)	CPIJ011787
CPIJ802059	supercont3.54:874308-886244 (-) 	CPIJ003850
CPIJ802057	supercont3.54:886429-887010 (+) 	CPIJ003851
CPIJ802056	supercont3.54:890618-892671 (+) 	CPIJ003852
CPIJ802058	supercont3.54:899973-900566 (+) 	CPIJ003854
CPIJ802060	supercont3.54:929987-1027448 (-)  	CPIJ003860
CPIJ802042	supercont3.54:1095313-1098096 (+)  	CPIJ003862
CPIJ802048	supercont3.54:1098693-1099093 (-)  	NEW
CPIJ802043	supercont3.54:1100660-1101583 (+)  	CPIJ003863
CPIJ802049	supercont3.54:1102454-1104596 (-)  	CPIJ003864
CPIJ802044	supercont3.54:1105231-1106267 (+)  	CPIJ003865
CPIJ802045	supercont3.54:1107587-1108531 (+)  	CPIJ003866
CPIJ802046	supercont3.54:1112050-1113000 (+)  	CPIJ003867
CPIJ802050	supercont3.54:1115318-1120390 (-)  	CPIJ003868
CPIJ802047	supercont3.54:1135182-1136885 (+) 	CPIJ003869
CPIJ802051	supercont3.54:1138344-1146748 (-)  	CPIJ003870
CPIJ802052	supercont3.54:1164507-1199237 (-)  	CPIJ003871
CPIJ800219	supercont3.995:117327-119107 (-)  	CPIJ017609
CPIJ801393	supercont3.101:5886-35543 (+)   	CPIJ005977
CPIJ801394	supercont3.101:43170-43844 (-)  	CPIJ005978
CPIJ801392	supercont3.101:202167-205367 (-) 	CPIJ005981
CPIJ801391	supercont3.101:208854-231206 (-)  	CPIJ005982
CPIJ801387	supercont3.101:238954-240081 (+)  	CPIJ005983
CPIJ801388	supercont3.101:303606-318177 (+)  	CPIJ005984
CPIJ801390	supercont3.101:320978-322799 (-)  	CPIJ005985
CPIJ801396	supercont3.101:406375-412691 (+)  	CPIJ005987
CPIJ801397	supercont3.101:419999-424063 (-)  	CPIJ005988
CPIJ801405	supercont3.101:832612-835598 (-)  	CPIJ005992
CPIJ801398	supercont3.101:841493-868567 (+)  	CPIJ005993
CPIJ801399	supercont3.101:879264-888354 (+)  	CPIJ005996
CPIJ801400	supercont3.101:892731-893965 (+)  	CPIJ005998
CPIJ801401	supercont3.101:899700-902272 (-)  	CPIJ005999
CPIJ800072	supercont3.74:454028-454428 (+)  	NEW
CPIJ800301	supercont3.271:238038-239739 (-)  	CPIJ010272
CPIJ802451	supercont3.9:1115578-1116350 (+)  	CPIJ000884
CPIJ802452	supercont3.9:1197796-1199736 (+)  	CPIJ000889
CPIJ802453	supercont3.9:1206887-1207676 (+)  	CPIJ000890
CPIJ802454	supercont3.9:1210220-1211982 (+)  	CPIJ000891
CPIJ802459	supercont3.9:1212116-1213369 (-)  	CPIJ000892
CPIJ802464	supercont3.9:1541277-1542811 (-)  	CPIJ000909
CPIJ802460	supercont3.9:1546493-1548117 (+)  	CPIJ000910
CPIJ802463	supercont3.9:1551823-1556686 (-)  	CPIJ000911
CPIJ802461	supercont3.9:1592023-1594041 (+)  	CPIJ000912
CPIJ802462	supercont3.9:1600076-1603120 (-)  	CPIJ000913
CPIJ800277	supercont3.9:1870538-1875578 (+)  	CPIJ000925
CPIJ800279	supercont3.9:1901645-1910672 (+)  	CPIJ000929
CPIJ802005	supercont3.42:533908-534579 (+)  	CPIJ002593
CPIJ802016	supercont3.42:758858-759610 (-)  	CPIJ002599
CPIJ802015	supercont3.42:839320-845401 (-)  	CPIJ002602
CPIJ802014	supercont3.42:848858-850331 (-)  	CPIJ002603
CPIJ802013	supercont3.42:852654-857043 (-)  	CPIJ002604
CPIJ802011	supercont3.42:915315-915981 (-)  	CPIJ002606
CPIJ802010	supercont3.42:929152-946036 (-)  	CPIJ002607
CPIJ802009	supercont3.42:998592-998786 (-)  	NEW
CPIJ802003	supercont3.42:1004693-1005280 (-)  	CPIJ002608
CPIJ802004	supercont3.42:1009733-1013897 (-)  	CPIJ002609
CPIJ802002	supercont3.42:1037194-1038876 (-)  	CPIJ002610
CPIJ802001	supercont3.42:1039582-1039971 (-)  	CPIJ002611
CPIJ801988	supercont3.42:1040907-1041393 (+)  	CPIJ002612
CPIJ802000	supercont3.42:1043607-1043996 (-)  	CPIJ002613
CPIJ801987	supercont3.42:1045054-1045443 (+)  	CPIJ002614
CPIJ801986	supercont3.42:1049658-1050047 (+)  	CPIJ002615
CPIJ801985	supercont3.42:1051663-1052073 (+)  	CPIJ002616
CPIJ801999	supercont3.42:1052369-1052743 (-)  	CPIJ002617
CPIJ801984	supercont3.42:1053230-1053607 (+)  	CPIJ002618
CPIJ801998	supercont3.42:1055501-1055878 (-)  	CPIJ002619
CPIJ801983	supercont3.42:1056357-1056734 (+)  	CPIJ002620
CPIJ801997	supercont3.42:1059126-1059503 (-)  	CPIJ002621
CPIJ801982	supercont3.42:1059982-1060359 (+)  	CPIJ002622
CPIJ801996	supercont3.42:1061801-1062178 (-)  	CPIJ002623
CPIJ801981	supercont3.42:1062664-1063041 (+)  	CPIJ002624
CPIJ801980	supercont3.42:1063611-1063967 (+)  	CPIJ002625
CPIJ801979	supercont3.42:1068662-1069042 (+)  	CPIJ002626
CPIJ801995	supercont3.42:1071546-1071932 (-)  	CPIJ002627
CPIJ801978	supercont3.42:1073268-1073874 (+) 	CPIJ002628
CPIJ801977	supercont3.42:1079412-1079789 (+)  	CPIJ002629
CPIJ801976	supercont3.42:1089532-1097657 (+)  	CPIJ002630
CPIJ801992	supercont3.42:1103779-1112919 (-)  	CPIJ002631
CPIJ801990	supercont3.42:1113541-1114692 (-)  	CPIJ002632
CPIJ801971	supercont3.42:1115066-1136294 (+)  	CPIJ002633
CPIJ801973	supercont3.42:1138637-1140040 (+)  	NEW
CPIJ801972	supercont3.42:1138931-1139326 (-)  	NEW
CPIJ801989	supercont3.42:1141745-1157766 (-)  	CPIJ002634
CPIJ801975	supercont3.42:1222771-1224145 (+) 	CPIJ002636
CPIJ801994	supercont3.42:1224323-1225315 (-)  	CPIJ002637
CPIJ801974	supercont3.42:1228510-1230241 (+)  	CPIJ002638
CPIJ801993	supercont3.42:1230306-1230771 (-)  	CPIJ002639
CPIJ801991	supercont3.42:1236967-1238979 (-)  	CPIJ002640
CPIJ801666	supercont3.25:259860-261587 (-)  	CPIJ001724
CPIJ801668	supercont3.25:560398-563293 (+)  	CPIJ001725
CPIJ801670	supercont3.25:678991-680613 (-)  	CPIJ001728
CPIJ801667	supercont3.25:720018-727705 (+)  	CPIJ001729
CPIJ801671	supercont3.25:734060-734572 (-)  	CPIJ001730
CPIJ801673	supercont3.25:752414-753415 (+)  	CPIJ001733
CPIJ801688	supercont3.25:753516-765510 (-)  	CPIJ001734
CPIJ801674	supercont3.25:786573-822104 (+)  	CPIJ001735
CPIJ801687	supercont3.25:837006-838269 (-)  	CPIJ001738
CPIJ801676	supercont3.25:838475-842481 (+)  	CPIJ001739
CPIJ801677	supercont3.25:850094-851236 (+)  	CPIJ001740
CPIJ801678	supercont3.25:858288-867026 (+)  	CPIJ001741
CPIJ801686	supercont3.25:866826-868381 (-)  	CPIJ001742
CPIJ801685	supercont3.25:868897-870440 (-)  	CPIJ001743
CPIJ801679	supercont3.25:870936-872427 (+)  	CPIJ001744
CPIJ801680	supercont3.25:876101-877584 (+)  	CPIJ001745
CPIJ801684	supercont3.25:877619-882427 (-)  	CPIJ001746
CPIJ801681	supercont3.25:888338-906405 (+)  	CPIJ001747
CPIJ801689	supercont3.25:907198-912782 (-)  	CPIJ001748
CPIJ801683	supercont3.25:918348-923146 (+)  	CPIJ001749
CPIJ800261	supercont3.25:1404838-1406488 (-)  	CPIJ001757
CPIJ800260	supercont3.25:1407084-1408719 (+)  	CPIJ001758
CPIJ802597	supercont3.227:93452-94820 (+)  	NEW
CPIJ802385	supercont3.842:20756-21138 (-)  	CPIJ017043
CPIJ802382	supercont3.842:26951-27327 (+)  	CPIJ017044
CPIJ802383	supercont3.842:33097-48798 (+)  	CPIJ017045
CPIJ800002	supercont3.122:504747-507337 (+)  	CPIJ006622
CPIJ800019	supercont3.1050:24217-36913 (+)  	CPIJ017888
CPIJ800303	supercont3.360:186613-192021 (+)  	CPIJ011835
CPIJ800304	supercont3.360:192352-196996 (-)  	CPIJ011836
CPIJ800274	supercont3.360:204514-210457 (+)  	CPIJ011837
CPIJ800275	supercont3.360:212107-215293 (+)  	CPIJ011838
CPIJ800270	supercont3.360:241463-258244 (+)  	CPIJ011841
CPIJ800232	supercont3.86:261407-263072 (-)  	CPIJ005332
CPIJ802641	supercont3.760:94125-95428 (+)  	CPIJ016433
CPIJ801920	supercont3.346:104109-150837 (-)  	CPIJ011993
CPIJ800052	supercont3.1114:73496-78720 (-)  	NEW
CPIJ802573	supercont3.167:608610-612808 (-)  	CPIJ008312
CPIJ801638	supercont3.218:415320-419191 (+)  	CPIJ009279
CPIJ801406	supercont3.1031:2806-14819 (+)  	CPIJ017980
CPIJ802671	supercont3.2903:8454-9691 (+)   	CPIJ020302
CPIJ800021	supercont3.1155:61732-66236 (-)  	CPIJ018209
CPIJ800192	supercont3.1813:26864-28402 (+)  	CPIJ019587
CPIJ802488	supercont3.538:118377-119248 (+)  	CPIJ014357
CPIJ800207	supercont3.769:193377-195169 (+)  	CPIJ016356
CPIJ801408	supercont3.1033:30062-32332 (+)  	CPIJ017699
CPIJ801409	supercont3.1033:46704-50198 (+)  	CPIJ017702
CPIJ801414	supercont3.1033:63147-66955 (-)  	CPIJ017703
CPIJ801410	supercont3.1033:68930-69556 (+)  	CPIJ017704
CPIJ801411	supercont3.1033:84415-89171 (+)  	CPIJ017705
CPIJ801412	supercont3.1033:99845-100346 (+)  	CPIJ017706
CPIJ801413	supercont3.1033:102645-103163 (+)  	CPIJ017707
CPIJ800096	supercont3.208:453720-455026 (+)  	CPIJ008900
CPIJ801849	supercont3.32:79786-83007 (-)   	CPIJ002407
CPIJ801850	supercont3.32:143266-143949 (-)  	CPIJ002408
CPIJ801851	supercont3.32:287471-289420 (+)  	CPIJ002410
CPIJ801860	supercont3.32:316445-317243 (-)  	CPIJ002411
CPIJ801859	supercont3.32:323065-359709 (-)  	CPIJ002412
CPIJ801858	supercont3.32:428744-429589 (-)  	CPIJ002413
CPIJ801852	supercont3.32:432738-434894 (+)  	CPIJ002414
CPIJ801857	supercont3.32:436568-439282 (-)  	CPIJ002415
CPIJ801856	supercont3.32:446962-451148 (-)  	CPIJ002416
CPIJ801853	supercont3.32:458999-460016 (+)  	CPIJ002417
CPIJ801855	supercont3.32:460047-460662 (-)  	CPIJ002418
CPIJ801878	supercont3.32:637110-646582 (-)  	CPIJ002425
CPIJ801862	supercont3.32:650855-651755 (+)  	CPIJ002426
