AaegL1.1	AaedL1.2	Change
AAEL000121 AAEL000121 unchanged
AAEL000122 AAEL000122 unchanged
AAEL000123 AAEL000123 unchanged
AAEL000124 AAEL000124 unchanged
AAEL000125 AAEL000125 unchanged
AAEL000126 AAEL000126 unchanged
AAEL000127 AAEL000127 unchanged
AAEL000128 AAEL000128 unchanged
AAEL000129 AAEL000129 unchanged
AAEL000130 AAEL000130 unchanged
AAEL000131 AAEL000131 unchanged
AAEL000132 AAEL000132 unchanged
AAEL000133 AAEL000133 unchanged
AAEL000134 AAEL000134 unchanged
AAEL000135 AAEL000135 unchanged
AAEL000136 AAEL000136 unchanged
AAEL000137 AAEL000137 unchanged
AAEL000138 AAEL000138 unchanged
AAEL000139 AAEL000139 unchanged
AAEL000140 AAEL000140 unchanged
AAEL000141 AAEL000141 unchanged
AAEL000142 AAEL000142 unchanged
AAEL000143 AAEL000143 unchanged
AAEL000144 AAEL000144 unchanged
AAEL000145 AAEL000145 unchanged
AAEL000146 AAEL000146 unchanged
AAEL000147 AAEL000147 unchanged
AAEL000148 AAEL000148 unchanged
AAEL000149 AAEL000149 unchanged
AAEL000150 AAEL000150 unchanged
AAEL000151 AAEL000151 unchanged
AAEL000152 AAEL000152 unchanged
AAEL000153 AAEL000153 unchanged
AAEL000154 AAEL000154 unchanged
AAEL000155 AAEL000155 unchanged
AAEL000156 AAEL000156 unchanged
AAEL000157 AAEL000157 unchanged
AAEL000158 AAEL000158 unchanged
AAEL000159 AAEL000159 unchanged
AAEL000160 AAEL000160 unchanged
AAEL000161 AAEL000161 unchanged
AAEL000162 AAEL000162 changed
AAEL000163 AAEL000163 unchanged
AAEL000164 AAEL000164 unchanged
AAEL000165 AAEL000165 unchanged
AAEL000166 AAEL000166 unchanged
AAEL000167 AAEL000167 unchanged
AAEL000168 AAEL000168 unchanged
AAEL000169 AAEL000169 unchanged
AAEL000170 AAEL000170 unchanged
AAEL000171 AAEL000171 unchanged
AAEL000172 AAEL000172 unchanged
AAEL000173 AAEL000173 unchanged
AAEL000174 AAEL000174 unchanged
AAEL000175 AAEL000175 unchanged
AAEL000176 AAEL000176 unchanged
AAEL000177 AAEL000177 unchanged
AAEL000178 AAEL000178 unchanged
AAEL000179 AAEL000179 unchanged
AAEL000180 AAEL000180 unchanged
AAEL000181 AAEL000181 unchanged
AAEL000182 AAEL000182 unchanged
AAEL000183 AAEL000183 unchanged
AAEL000184 AAEL000184 unchanged
AAEL000185 AAEL000185 unchanged
AAEL000186 AAEL000186 unchanged
AAEL000187 AAEL000187 unchanged
AAEL000188 AAEL000188 unchanged
AAEL000189 AAEL000189 unchanged
AAEL000190 AAEL000190 unchanged
AAEL000191 AAEL000191 unchanged
AAEL000192 AAEL000192 unchanged
AAEL000193 AAEL000193 unchanged
AAEL000194 AAEL000194 unchanged
AAEL000195 AAEL000195 unchanged
AAEL000196 AAEL000196 unchanged
AAEL000197 AAEL000197 unchanged
AAEL000198 AAEL000198 unchanged
AAEL000199 AAEL000199 unchanged
AAEL000200 AAEL000200 unchanged
AAEL000201 AAEL000201 unchanged
AAEL000202 AAEL000202 unchanged
AAEL000203 AAEL000203 unchanged
AAEL000204 AAEL000204 unchanged
AAEL000205 AAEL000205 unchanged
AAEL000206 AAEL000206 unchanged
AAEL000207 AAEL000207 unchanged
AAEL000208 AAEL000208 unchanged
AAEL000209 AAEL000209 unchanged
AAEL000210 AAEL000210 unchanged
AAEL000211 AAEL000211 unchanged
AAEL000212 AAEL000212 unchanged
AAEL000213 AAEL000213 unchanged
AAEL000214 AAEL000214 unchanged
AAEL000215 AAEL000215 unchanged
AAEL000216 AAEL000216 unchanged
AAEL000217 AAEL000217 unchanged
AAEL000218 AAEL000218 unchanged
AAEL000219 AAEL000219 unchanged
AAEL000220 AAEL000220 unchanged
AAEL000221 AAEL000221 unchanged
AAEL000222 AAEL000222 unchanged
AAEL000223 AAEL000223 unchanged
AAEL000224 AAEL000224 unchanged
AAEL000225 AAEL000225 unchanged
AAEL000226 AAEL000226 unchanged
AAEL000227 AAEL000227 changed
AAEL000228 AAEL000228 unchanged
AAEL000229 AAEL000229 unchanged
AAEL000230 AAEL000230 unchanged
AAEL000231 AAEL000231 unchanged
AAEL000232 AAEL000232 unchanged
AAEL000233 AAEL000233 changed
AAEL000234 AAEL000234 changed
AAEL000235 AAEL000235 unchanged
AAEL000236 AAEL000236 unchanged
AAEL000237 AAEL000237 unchanged
AAEL000238 AAEL000238 unchanged
AAEL000239 AAEL000239 unchanged
AAEL000240 AAEL000240 unchanged
AAEL000241 AAEL000241 unchanged
AAEL000242 AAEL000242 unchanged
AAEL000243 AAEL000243 unchanged
AAEL000244 AAEL000244 unchanged
AAEL000245 AAEL000245 unchanged
AAEL000246 AAEL000246 changed
AAEL000247 AAEL000247 unchanged
AAEL000248 AAEL000248 unchanged
AAEL000249 AAEL000249 unchanged
AAEL000250 AAEL000250 unchanged
AAEL000251 AAEL000251 unchanged
AAEL000252 AAEL000252 unchanged
AAEL000253 AAEL000253 unchanged
AAEL000254 AAEL000254 unchanged
AAEL000255 AAEL000255 unchanged
AAEL000256 AAEL000256 changed
AAEL000257 AAEL000257 unchanged
AAEL000258 AAEL000258 unchanged
AAEL000259 AAEL000259 changed
AAEL000260 AAEL000260 unchanged
AAEL000261 AAEL000261 unchanged
AAEL000262 AAEL000262 unchanged
AAEL000263 AAEL000263 unchanged
AAEL000264 AAEL000264 unchanged
AAEL000265 AAEL000265 unchanged
AAEL000266 AAEL000266 changed
AAEL000267 AAEL000267 unchanged
AAEL000268 AAEL000268 unchanged
AAEL000269 AAEL000269 unchanged
AAEL000270 AAEL000270 unchanged
AAEL000271 AAEL000271 unchanged
AAEL000272 AAEL000272 unchanged
AAEL000273 AAEL000273 unchanged
AAEL000274 AAEL000274 unchanged
AAEL000275 AAEL000275 unchanged
AAEL000276 AAEL000276 unchanged
AAEL000277 AAEL000277 unchanged
AAEL000278 AAEL000278 unchanged
AAEL000279 AAEL000279 unchanged
AAEL000280 AAEL000280 unchanged
AAEL000281 AAEL000281 unchanged
AAEL000282 AAEL000282 unchanged
AAEL000283 AAEL000283 unchanged
AAEL000284 AAEL000284 unchanged
AAEL000285 AAEL000285 unchanged
AAEL000286 AAEL000286 unchanged
AAEL000287 AAEL000287 unchanged
AAEL000288 AAEL000288 unchanged
AAEL000289 AAEL000289 unchanged
AAEL000290 AAEL000290 unchanged
AAEL000291 AAEL000291 unchanged
AAEL000292 AAEL000292 unchanged
AAEL000293 AAEL000293 unchanged
AAEL000294 AAEL000294 unchanged
AAEL000295 AAEL000295 unchanged
AAEL000296 AAEL000296 unchanged
AAEL000297 AAEL000297 unchanged
AAEL000298 AAEL000298 unchanged
AAEL000299 AAEL000299 unchanged
AAEL000300 AAEL000300 unchanged
AAEL000301 AAEL000301 unchanged
AAEL000302 AAEL000302 unchanged
AAEL000303 AAEL000303 unchanged
AAEL000304 AAEL000304 changed
AAEL000305 AAEL000305 unchanged
AAEL000306 AAEL000306 unchanged
AAEL000307 AAEL000307 unchanged
AAEL000308 AAEL000308 unchanged
AAEL000309 AAEL000309 changed
AAEL000310 AAEL000310 unchanged
AAEL000311 AAEL000311 unchanged
AAEL000312 AAEL000312 unchanged
AAEL000313 AAEL000313 unchanged
AAEL000314 AAEL000314 unchanged
AAEL000315 AAEL000315 unchanged
AAEL000316 AAEL000316 unchanged
AAEL000317 AAEL000317 unchanged
AAEL000318 AAEL000318 unchanged
AAEL000319 AAEL000319 unchanged
AAEL000320 AAEL000320 changed
AAEL000321 AAEL000321 unchanged
AAEL000322 AAEL000322 unchanged
AAEL000323 AAEL000323 unchanged
AAEL000324 AAEL000324 unchanged
AAEL000325 AAEL000325 unchanged
AAEL000326 AAEL000326 changed
AAEL000327 AAEL000327 changed
AAEL000328 AAEL000328 unchanged
AAEL000329 AAEL000329 unchanged
AAEL000330 AAEL000330 unchanged
AAEL000331 AAEL000331 unchanged
AAEL000332 AAEL000332 unchanged
AAEL000333 AAEL000333 unchanged
AAEL000334 AAEL000334 unchanged
AAEL000335 AAEL000335 unchanged
AAEL000336 AAEL000336 unchanged
AAEL000337 AAEL000337 unchanged
AAEL000338 AAEL000338 changed
AAEL000339 AAEL000339 unchanged
AAEL000340 AAEL000340 unchanged
AAEL000341 AAEL000341 unchanged
AAEL000342 AAEL000342 unchanged
AAEL000343 AAEL000343 unchanged
AAEL000344 AAEL000344 unchanged
AAEL000345 AAEL000345 unchanged
AAEL000346 AAEL000346 unchanged
AAEL000347 AAEL000347 unchanged
AAEL000348 AAEL000348 unchanged
AAEL000349 AAEL000349 unchanged
AAEL000350 AAEL000350 unchanged
AAEL000351 AAEL000351 unchanged
AAEL000352 AAEL000352 unchanged
AAEL000353 AAEL000353 unchanged
AAEL000354 AAEL000354 unchanged
AAEL000355 NULL deleted
AAEL000356 AAEL000356 unchanged
AAEL000357 AAEL000357 unchanged
AAEL000358 AAEL000358 unchanged
AAEL000359 AAEL000359 unchanged
AAEL000360 AAEL000360 unchanged
AAEL000361 AAEL000361 unchanged
AAEL000362 AAEL000362 unchanged
AAEL000363 AAEL000363 unchanged
AAEL000364 AAEL000364 unchanged
AAEL000365 AAEL000365 unchanged
AAEL000366 AAEL000366 unchanged
AAEL000367 AAEL000367 unchanged
AAEL000368 AAEL000368 unchanged
AAEL000369 AAEL000369 unchanged
AAEL000370 AAEL000370 unchanged
AAEL000371 AAEL000371 unchanged
AAEL000372 AAEL000372 unchanged
AAEL000373 AAEL000373 unchanged
AAEL000374 AAEL000374 unchanged
AAEL000375 AAEL000375 unchanged
AAEL000376 AAEL000376 changed
AAEL000377 AAEL000377 unchanged
AAEL000378 AAEL000378 unchanged
AAEL000379 AAEL000379 unchanged
AAEL000380 AAEL000380 unchanged
AAEL000381 AAEL000381 unchanged
AAEL000382 AAEL000382 unchanged
AAEL000383 AAEL000383 unchanged
AAEL000384 AAEL000384 unchanged
AAEL000385 AAEL000385 unchanged
AAEL000386 AAEL000386 unchanged
AAEL000387 AAEL000387 unchanged
AAEL000388 AAEL000388 unchanged
AAEL000389 AAEL000389 unchanged
AAEL000390 AAEL000390 unchanged
AAEL000391 AAEL000391 changed
AAEL000392 AAEL000392 changed
AAEL000393 AAEL000393 unchanged
AAEL000394 AAEL000394 unchanged
AAEL000395 AAEL000395 changed
AAEL000396 AAEL000396 unchanged
AAEL000397 AAEL000397 unchanged
AAEL000398 AAEL000398 unchanged
AAEL000399 AAEL000399 unchanged
AAEL000400 AAEL000400 unchanged
AAEL000401 AAEL000401 unchanged
AAEL000402 AAEL000402 unchanged
AAEL000403 AAEL000403 unchanged
AAEL000404 AAEL000404 unchanged
AAEL000405 AAEL000405 unchanged
AAEL000406 AAEL000406 unchanged
AAEL000407 AAEL000407 unchanged
AAEL000408 AAEL000408 unchanged
AAEL000409 AAEL000409 unchanged
AAEL000410 AAEL000410 unchanged
AAEL000411 AAEL000411 unchanged
AAEL000412 AAEL000412 unchanged
AAEL000413 AAEL000413 unchanged
AAEL000414 AAEL000414 unchanged
AAEL000415 AAEL000415 unchanged
AAEL000416 AAEL000416 unchanged
AAEL000417 AAEL000417 unchanged
AAEL000418 AAEL000418 unchanged
AAEL000419 AAEL000419 unchanged
AAEL000420 AAEL000420 unchanged
AAEL000421 AAEL000421 unchanged
AAEL000422 AAEL000422 unchanged
AAEL000423 AAEL000423 unchanged
AAEL000424 AAEL000424 unchanged
AAEL000425 AAEL000425 unchanged
AAEL000426 AAEL000426 unchanged
AAEL000427 AAEL000427 unchanged
AAEL000428 AAEL000428 unchanged
AAEL000429 AAEL000429 unchanged
AAEL000430 AAEL000430 unchanged
AAEL000431 AAEL000431 unchanged
AAEL000432 AAEL000432 unchanged
AAEL000433 AAEL000433 unchanged
AAEL000434 AAEL000434 unchanged
AAEL000435 AAEL000435 unchanged
AAEL000436 AAEL000436 unchanged
AAEL000437 AAEL000437 unchanged
AAEL000438 AAEL000438 unchanged
AAEL000439 AAEL000439 unchanged
AAEL000440 AAEL000440 unchanged
AAEL000441 AAEL000441 unchanged
AAEL000442 AAEL000442 unchanged
AAEL000443 AAEL000443 unchanged
AAEL000444 AAEL000444 unchanged
AAEL000445 AAEL000445 unchanged
AAEL000446 AAEL000446 unchanged
AAEL000447 AAEL000447 unchanged
AAEL000448 AAEL000448 changed
AAEL000449 AAEL000449 unchanged
AAEL000450 AAEL000450 unchanged
AAEL000451 AAEL000451 unchanged
AAEL000452 AAEL000452 unchanged
AAEL000453 AAEL000453 unchanged
AAEL000454 AAEL000454 unchanged
AAEL000455 AAEL000455 unchanged
AAEL000456 AAEL000456 unchanged
AAEL000457 AAEL000457 unchanged
AAEL000458 AAEL000458 unchanged
AAEL000459 AAEL000459 unchanged
AAEL000460 AAEL000460 unchanged
AAEL000461 AAEL000461 changed
AAEL000462 AAEL000462 unchanged
AAEL000463 AAEL000463 unchanged
AAEL000464 AAEL000464 unchanged
AAEL000465 AAEL000465 unchanged
AAEL000466 AAEL000466 unchanged
AAEL000467 AAEL000467 unchanged
AAEL000468 AAEL000468 changed
AAEL000469 AAEL000469 unchanged
AAEL000470 AAEL000470 unchanged
AAEL000471 AAEL000471 unchanged
AAEL000472 AAEL000472 unchanged
AAEL000473 AAEL000473 unchanged
AAEL000474 AAEL000474 unchanged
AAEL000475 AAEL000475 changed
AAEL000476 AAEL000476 unchanged
AAEL000477 AAEL000477 unchanged
AAEL000478 AAEL000478 unchanged
AAEL000479 AAEL000479 unchanged
AAEL000480 AAEL000480 unchanged
AAEL000481 AAEL000481 unchanged
AAEL000482 AAEL000482 unchanged
AAEL000483 AAEL000483 unchanged
AAEL000484 AAEL000484 unchanged
AAEL000485 AAEL000485 unchanged
AAEL000486 AAEL000486 unchanged
AAEL000487 AAEL000487 unchanged
AAEL000488 AAEL000488 unchanged
AAEL000489 AAEL000489 unchanged
AAEL000490 AAEL000490 unchanged
AAEL000491 AAEL000491 unchanged
AAEL000492 AAEL000492 unchanged
AAEL000493 AAEL000493 unchanged
AAEL000494 AAEL000494 unchanged
AAEL000495 AAEL000495 changed
AAEL000496 AAEL000496 unchanged
AAEL000497 AAEL000497 unchanged
AAEL000498 AAEL000498 unchanged
AAEL000499 AAEL000499 changed
AAEL000500 AAEL000500 unchanged
AAEL000501 AAEL000501 unchanged
AAEL000502 AAEL000502 unchanged
AAEL000503 AAEL000503 unchanged
AAEL000504 AAEL000504 unchanged
AAEL000505 AAEL000505 unchanged
AAEL000506 AAEL000506 unchanged
AAEL000507 AAEL000507 unchanged
AAEL000508 AAEL000508 unchanged
AAEL000509 AAEL000509 unchanged
AAEL000510 AAEL000510 unchanged
AAEL000511 AAEL000511 changed
AAEL000512 AAEL000512 unchanged
AAEL000513 AAEL000513 unchanged
AAEL000514 AAEL000514 unchanged
AAEL000515 AAEL000515 unchanged
AAEL000516 AAEL000516 unchanged
AAEL000517 AAEL000517 unchanged
AAEL000518 AAEL000518 unchanged
AAEL000519 AAEL000519 unchanged
AAEL000520 AAEL000520 unchanged
AAEL000521 AAEL000521 unchanged
AAEL000522 AAEL000522 unchanged
AAEL000523 AAEL000523 unchanged
AAEL000524 AAEL000524 unchanged
AAEL000525 AAEL000525 unchanged
AAEL000526 AAEL000526 unchanged
AAEL000527 AAEL000527 unchanged
AAEL000528 AAEL000528 changed
AAEL000529 AAEL000529 unchanged
AAEL000530 AAEL000530 changed
AAEL000531 AAEL000531 unchanged
AAEL000532 AAEL000532 unchanged
AAEL000533 AAEL000533 changed
AAEL000534 AAEL000534 unchanged
AAEL000535 AAEL000535 unchanged
AAEL000536 AAEL000536 unchanged
AAEL000537 AAEL000537 unchanged
AAEL000538 AAEL000538 unchanged
AAEL000539 AAEL000539 unchanged
AAEL000540 AAEL000540 unchanged
AAEL000541 AAEL000541 unchanged
AAEL000542 AAEL000542 unchanged
AAEL000543 AAEL000543 changed
AAEL000544 AAEL000544 unchanged
AAEL000545 AAEL000545 changed
AAEL000546 AAEL000546 changed
AAEL000547 AAEL000547 unchanged
AAEL000548 NULL deleted
AAEL000549 AAEL000549 unchanged
AAEL000550 AAEL000550 unchanged
AAEL000551 AAEL000551 unchanged
AAEL000552 AAEL000552 unchanged
AAEL000553 AAEL000553 unchanged
AAEL000554 AAEL000554 unchanged
AAEL000555 AAEL000555 unchanged
AAEL000556 AAEL000556 changed
AAEL000557 AAEL000557 unchanged
AAEL000558 AAEL000558 unchanged
AAEL000559 AAEL000559 unchanged
AAEL000560 AAEL000560 unchanged
AAEL000561 AAEL000561 unchanged
AAEL000562 AAEL000562 unchanged
AAEL000563 AAEL000563 unchanged
AAEL000564 AAEL000564 changed
AAEL000565 AAEL000565 unchanged
AAEL000566 AAEL000566 unchanged
AAEL000567 AAEL000567 unchanged
AAEL000568 AAEL000568 unchanged
AAEL000569 AAEL000569 unchanged
AAEL000570 AAEL000570 unchanged
AAEL000571 AAEL000571 unchanged
AAEL000572 AAEL000572 unchanged
AAEL000573 AAEL000573 unchanged
AAEL000574 AAEL000574 unchanged
AAEL000575 AAEL000575 unchanged
AAEL000576 AAEL000576 unchanged
AAEL000577 AAEL000577 unchanged
AAEL000578 AAEL000578 unchanged
AAEL000579 AAEL000579 unchanged
AAEL000580 AAEL000580 unchanged
AAEL000581 AAEL000581 unchanged
AAEL000582 AAEL000582 unchanged
AAEL000583 AAEL000583 unchanged
AAEL000584 AAEL000584 unchanged
AAEL000585 AAEL000585 unchanged
AAEL000586 AAEL000586 unchanged
AAEL000587 AAEL000587 unchanged
AAEL000588 AAEL000588 unchanged
AAEL000589 AAEL000589 unchanged
AAEL000590 AAEL000590 changed
AAEL000591 AAEL000591 unchanged
AAEL000592 AAEL000592 unchanged
AAEL000593 AAEL000593 unchanged
AAEL000594 AAEL000594 unchanged
AAEL000595 AAEL000595 unchanged
AAEL000596 AAEL000596 unchanged
AAEL000597 AAEL000597 unchanged
AAEL000598 AAEL000598 changed
AAEL000599 AAEL000599 unchanged
AAEL000600 AAEL000600 unchanged
AAEL000601 AAEL000601 unchanged
AAEL000602 AAEL000602 changed
AAEL000603 AAEL000603 unchanged
AAEL000604 AAEL000604 unchanged
AAEL000605 AAEL000605 unchanged
AAEL000606 AAEL000606 unchanged
AAEL000607 AAEL000607 unchanged
AAEL000608 AAEL000608 unchanged
AAEL000609 AAEL000609 unchanged
AAEL000610 AAEL000610 unchanged
AAEL000611 AAEL000611 changed
AAEL000612 AAEL000612 unchanged
AAEL000613 AAEL000613 changed
AAEL000614 AAEL000614 unchanged
AAEL000615 AAEL000615 unchanged
AAEL000616 AAEL000616 unchanged
AAEL000617 AAEL000617 unchanged
AAEL000618 AAEL000618 unchanged
AAEL000619 AAEL000619 unchanged
AAEL000620 AAEL000620 unchanged
AAEL000621 AAEL000621 changed
AAEL000622 AAEL000622 unchanged
AAEL000623 AAEL000623 unchanged
AAEL000624 AAEL000624 unchanged
AAEL000625 AAEL000625 changed
AAEL000626 AAEL000626 unchanged
AAEL000627 AAEL000627 changed
AAEL000628 AAEL000628 unchanged
AAEL000629 AAEL000629 unchanged
AAEL000630 AAEL000630 unchanged
AAEL000631 AAEL000631 unchanged
AAEL000632 AAEL000632 unchanged
AAEL000633 AAEL000633 unchanged
AAEL000634 AAEL000634 unchanged
AAEL000635 AAEL000635 unchanged
AAEL000636 AAEL000636 unchanged
AAEL000637 AAEL000637 unchanged
AAEL000638 AAEL000638 unchanged
AAEL000639 AAEL000639 unchanged
AAEL000640 AAEL000640 unchanged
AAEL000641 AAEL000641 changed
AAEL000642 AAEL000642 unchanged
AAEL000643 AAEL000643 unchanged
AAEL000644 AAEL000644 unchanged
AAEL000645 AAEL000645 unchanged
AAEL000646 AAEL000646 unchanged
AAEL000647 AAEL000647 unchanged
AAEL000648 AAEL000648 unchanged
AAEL000649 AAEL000649 unchanged
AAEL000650 AAEL000650 unchanged
AAEL000651 AAEL000651 unchanged
AAEL000652 AAEL000652 changed
AAEL000653 AAEL000653 unchanged
AAEL000654 AAEL000654 unchanged
AAEL000655 AAEL000655 unchanged
AAEL000656 AAEL000656 unchanged
AAEL000657 AAEL000657 changed
AAEL000658 AAEL000658 unchanged
AAEL000659 AAEL000659 unchanged
AAEL000660 AAEL000660 unchanged
AAEL000661 AAEL000661 unchanged
AAEL000662 AAEL000662 unchanged
AAEL000663 AAEL000663 unchanged
AAEL000664 AAEL000664 unchanged
AAEL000665 AAEL000665 unchanged
AAEL000666 AAEL000666 unchanged
AAEL000667 AAEL000667 changed
AAEL000668 AAEL000668 unchanged
AAEL000669 AAEL000669 unchanged
AAEL000670 AAEL000670 unchanged
AAEL000671 AAEL000671 unchanged
AAEL000672 AAEL000672 unchanged
AAEL000673 AAEL000673 unchanged
AAEL000674 AAEL000674 unchanged
AAEL000675 AAEL000675 unchanged
AAEL000676 AAEL000676 unchanged
AAEL000677 AAEL000677 unchanged
AAEL000678 AAEL000678 unchanged
AAEL000679 AAEL000679 unchanged
AAEL000680 AAEL000680 unchanged
AAEL000681 AAEL000681 unchanged
AAEL000682 AAEL000682 unchanged
AAEL000683 AAEL000683 unchanged
AAEL000684 AAEL000684 unchanged
AAEL000685 AAEL000685 unchanged
AAEL000686 AAEL000686 unchanged
AAEL000687 AAEL000687 unchanged
AAEL000688 AAEL000688 unchanged
AAEL000689 AAEL000689 unchanged
AAEL000690 AAEL000690 unchanged
AAEL000691 AAEL000691 unchanged
AAEL000692 AAEL000692 unchanged
AAEL000693 AAEL000693 unchanged
AAEL000694 AAEL000694 unchanged
AAEL000695 AAEL000695 unchanged
AAEL000696 AAEL000696 unchanged
AAEL000697 AAEL000697 unchanged
AAEL000698 AAEL000698 unchanged
AAEL000699 AAEL000699 unchanged
AAEL000700 AAEL000700 unchanged
AAEL000701 AAEL000701 unchanged
AAEL000702 AAEL000702 unchanged
AAEL000703 AAEL000703 unchanged
AAEL000704 AAEL000704 unchanged
AAEL000705 AAEL000705 unchanged
AAEL000706 AAEL000706 unchanged
AAEL000707 AAEL000707 unchanged
AAEL000708 AAEL000708 unchanged
AAEL000709 AAEL000709 changed
AAEL000710 AAEL000710 unchanged
AAEL000711 AAEL000711 changed
AAEL000712 AAEL000712 unchanged
AAEL000713 AAEL000713 unchanged
AAEL000714 AAEL000714 unchanged
AAEL000715 AAEL000715 unchanged
AAEL000716 AAEL000716 unchanged
AAEL000717 AAEL000717 unchanged
AAEL000718 AAEL000718 unchanged
AAEL000719 AAEL000719 unchanged
AAEL000720 AAEL000720 unchanged
AAEL000721 AAEL000721 unchanged
AAEL000722 AAEL000722 changed
AAEL000723 AAEL000723 unchanged
AAEL000724 AAEL000724 unchanged
AAEL000725 AAEL000725 unchanged
AAEL000726 AAEL000726 unchanged
AAEL000727 AAEL000727 unchanged
AAEL000728 AAEL000728 unchanged
AAEL000729 AAEL000729 unchanged
AAEL000730 AAEL000730 unchanged
AAEL000731 AAEL000731 unchanged
AAEL000732 AAEL000732 unchanged
AAEL000733 AAEL000733 unchanged
AAEL000734 AAEL000734 unchanged
AAEL000735 AAEL000735 unchanged
AAEL000736 AAEL000736 unchanged
AAEL000737 AAEL000737 unchanged
AAEL000738 AAEL000738 unchanged
AAEL000739 AAEL000739 unchanged
AAEL000740 AAEL000740 unchanged
AAEL000741 AAEL000741 unchanged
